gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges
Male,0,No,No,Yes,No,0,No,No,No,No,No,No,1,No,Mailed check,45.85
Female,1,No,No,Yes,No,2,No,No,No,No,Yes,No,1,Yes,Electronic check,79.2
Male,0,Yes,No,Yes,No,0,No,Yes,Yes,No,Yes,Yes,0,No,Electronic check,73.6
Female,0,No,No,Yes,Yes,2,No,No,Yes,No,Yes,Yes,2,Yes,Electronic check,101.1
Male,0,Yes,No,No,No phone service,0,No,No,No,No,No,No,1,Yes,Electronic check,24.95
Male,0,No,No,Yes,No,2,No,No,Yes,Yes,Yes,Yes,1,Yes,Electronic check,98.7
Female,1,No,No,Yes,No,2,No,Yes,No,No,No,No,1,Yes,Electronic check,74.7
Male,0,No,No,Yes,No,0,No,No,Yes,Yes,No,No,1,No,Mailed check,55.05
Male,0,No,No,Yes,No,0,No,No,No,No,No,No,1,Yes,Bank transfer (automatic),45.1
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Mailed check,19.95
Female,0,Yes,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Mailed check,20.35
Female,0,No,No,Yes,Yes,2,No,No,No,No,Yes,Yes,1,No,Mailed check,95.65
Male,0,No,No,Yes,No,2,No,No,No,No,No,No,1,Yes,Mailed check,70.6
Male,0,Yes,No,No,No phone service,0,No,Yes,Yes,Yes,Yes,Yes,2,Yes,Electronic check,60.45
Female,0,Yes,No,Yes,No,2,No,No,No,No,Yes,No,1,No,Electronic check,78.8
Male,0,No,No,Yes,No,0,No,No,No,No,No,No,1,No,Electronic check,44.0
Male,1,Yes,No,Yes,Yes,2,Yes,Yes,No,No,No,No,1,Yes,Credit card (automatic),84.9
Male,1,Yes,No,Yes,No,2,Yes,No,Yes,No,No,No,2,No,Credit card (automatic),80.3
Male,0,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0,No,Bank transfer (automatic),114.55
Male,0,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,Yes,1,No,Electronic check,103.3
Female,1,Yes,No,Yes,Yes,2,No,No,No,No,Yes,Yes,1,Yes,Electronic check,92.55
Male,0,No,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,23.5
Female,0,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),118.75
Male,0,Yes,No,No,No phone service,0,No,Yes,No,No,Yes,Yes,1,Yes,Electronic check,48.55
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,19.85
Female,0,No,No,Yes,No,0,No,Yes,No,No,No,No,2,No,Credit card (automatic),51.45
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Credit card (automatic),20.2
Male,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),25.55
Female,1,Yes,No,Yes,Yes,2,Yes,Yes,Yes,Yes,No,No,0,Yes,Credit card (automatic),96.35
Female,1,No,No,Yes,Yes,2,No,No,No,No,Yes,Yes,1,Yes,Electronic check,94.25
Male,0,No,No,Yes,No,2,No,No,No,No,No,Yes,1,Yes,Electronic check,79.25
Male,0,No,No,Yes,No,2,No,Yes,Yes,No,Yes,Yes,1,Yes,Electronic check,101.4
Female,1,Yes,Yes,Yes,Yes,0,Yes,Yes,No,No,Yes,No,2,No,Electronic check,69.2
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.6
Male,0,No,No,Yes,No,0,No,No,No,No,No,Yes,1,Yes,Mailed check,55.7
Male,1,No,No,Yes,Yes,2,No,No,No,No,Yes,Yes,1,Yes,Electronic check,95.6
Male,1,No,No,Yes,No,0,Yes,No,Yes,No,No,Yes,2,No,Credit card (automatic),62.7
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,20.05
Male,0,Yes,Yes,Yes,No,2,No,Yes,Yes,No,Yes,Yes,2,Yes,Credit card (automatic),97.55
Female,1,No,No,Yes,No,2,Yes,Yes,No,No,No,No,1,Yes,Credit card (automatic),79.2
Female,1,No,No,Yes,Yes,2,No,No,Yes,No,No,No,1,Yes,Bank transfer (automatic),80.35
Female,1,Yes,Yes,Yes,Yes,2,No,Yes,No,No,Yes,Yes,1,Yes,Electronic check,100.4
Male,0,Yes,No,Yes,No,0,No,Yes,Yes,Yes,Yes,No,2,Yes,Electronic check,70.95
Female,0,Yes,Yes,Yes,No,2,No,No,No,No,No,No,1,No,Electronic check,70.2
Female,0,No,No,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Electronic check,24.25
Female,1,Yes,Yes,Yes,No,0,No,No,No,No,No,No,1,No,Electronic check,46.0
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Mailed check,19.15
Female,1,No,No,Yes,Yes,0,Yes,No,No,No,No,No,1,Yes,Electronic check,54.1
Male,1,No,Yes,Yes,No,0,No,No,Yes,No,No,No,1,Yes,Mailed check,50.15
Male,0,Yes,Yes,Yes,No,2,Yes,Yes,Yes,Yes,Yes,No,0,Yes,Credit card (automatic),101.1
Female,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.05
Male,1,Yes,No,Yes,Yes,2,No,No,Yes,No,No,No,1,Yes,Bank transfer (automatic),79.9
Male,0,Yes,Yes,Yes,No,2,No,Yes,Yes,No,Yes,No,2,No,Electronic check,90.95
Female,0,No,No,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,No,1,Yes,Bank transfer (automatic),78.35
Male,0,No,No,Yes,Yes,2,No,No,Yes,No,No,No,1,No,Electronic check,79.9
Male,0,Yes,No,Yes,Yes,2,Yes,No,No,Yes,Yes,No,1,No,Credit card (automatic),95.9
Female,0,Yes,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Bank transfer (automatic),20.15
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),20.05
Male,0,No,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,Yes,Mailed check,19.6
Female,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Mailed check,19.7
Male,0,No,No,No,No phone service,0,No,No,No,Yes,No,No,1,Yes,Credit card (automatic),30.1
Female,0,Yes,No,Yes,No,2,Yes,No,No,No,Yes,Yes,2,Yes,Electronic check,94.75
Male,0,No,No,Yes,No,2,No,No,No,No,Yes,Yes,1,Yes,Electronic check,89.55
Female,0,No,No,Yes,No,2,No,No,No,No,No,No,1,Yes,Electronic check,69.7
Male,0,No,No,Yes,No,2,No,Yes,Yes,No,No,No,1,Yes,Electronic check,79.8
Female,0,No,No,Yes,No,2,No,No,Yes,No,No,Yes,1,Yes,Credit card (automatic),85.3
Female,1,Yes,No,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,2,Yes,Credit card (automatic),104.4
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,20.05
Female,0,No,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Bank transfer (automatic),19.3
Male,0,No,No,Yes,No,0,Yes,No,No,No,No,No,1,Yes,Bank transfer (automatic),49.55
Male,1,Yes,No,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,2,Yes,Bank transfer (automatic),107.35
Female,0,No,No,Yes,No,2,No,No,No,No,Yes,No,1,Yes,Electronic check,80.2
Female,1,Yes,No,Yes,No,2,Yes,Yes,No,Yes,No,No,1,Yes,Electronic check,85.15
Male,0,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,No,0,No,Bank transfer (automatic),82.3
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Yes,Electronic check,20.45
Female,1,Yes,No,No,No phone service,0,No,No,Yes,No,Yes,Yes,1,Yes,Electronic check,48.35
Male,0,No,No,Yes,Yes,2,No,Yes,No,No,Yes,Yes,2,No,Electronic check,100.2
Female,0,Yes,No,Yes,No,2,No,No,Yes,No,No,No,1,Yes,Bank transfer (automatic),75.75
Male,0,No,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),19.95
Male,0,No,No,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0,No,Bank transfer (automatic),113.4
Female,0,No,No,Yes,No,2,No,No,No,No,No,No,1,No,Electronic check,69.65
Male,0,No,No,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,0,Yes,Bank transfer (automatic),104.75
Male,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Bank transfer (automatic),24.8
Female,1,No,No,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,1,Yes,Bank transfer (automatic),104.75
Male,0,Yes,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Bank transfer (automatic),19.95
Male,0,No,No,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,20.9
Female,0,Yes,Yes,Yes,Yes,0,No,Yes,No,No,No,No,1,No,Electronic check,55.75
Male,1,Yes,No,No,No phone service,0,No,Yes,Yes,No,Yes,Yes,1,Yes,Bank transfer (automatic),52.3
Female,0,Yes,No,No,No phone service,0,Yes,Yes,Yes,Yes,Yes,Yes,2,No,Bank transfer (automatic),66.8
Female,1,No,No,Yes,No,2,No,Yes,No,No,Yes,Yes,1,Yes,Electronic check,95.0
Female,0,No,No,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,1,Yes,Credit card (automatic),109.85
Female,1,No,No,No,No phone service,0,No,No,Yes,No,Yes,No,1,Yes,Electronic check,39.85
Female,1,No,No,Yes,No,2,No,No,No,No,No,Yes,1,Yes,Electronic check,79.6
Male,0,No,Yes,Yes,No,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Mailed check,19.95
Male,0,No,Yes,Yes,No,2,No,Yes,No,Yes,Yes,Yes,1,Yes,Credit card (automatic),99.15
Male,0,Yes,No,Yes,Yes,2,Yes,Yes,No,No,No,Yes,1,Yes,Credit card (automatic),94.4
Female,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Mailed check,25.0
Male,0,Yes,Yes,Yes,Yes,1,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Credit card (automatic),25.1
Female,0,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,0,No,Credit card (automatic),89.9
Male,0,No,No,No,No phone service,0,No,No,No,No,No,No,1,Yes,Bank transfer (automatic),25.05
Female,0,No,Yes,Yes,Yes,2,Yes,No,No,Yes,No,No,1,Yes,Mailed check,86.0
Male,0,No,No,No,No phone service,0,No,Yes,No,Yes,No,No,1,Yes,Mailed check,36.85
